firstName,middleName,firstLastName,secondLastName,idType,idNumber,email,phone,municipality,address,gender,birthDate,maritalStatus,educationLevel,emergencyContact,emergencyPhone,afpProvider,notes,hireDate,contractType,probationEndDate,reportsTo,paymentFrequency,salary,workday,isVigilante,weeklyHours,workShift,occupationCode,vacationGranted,tssKey,position,department_catalog,area,costCenter,paymentMethod,accountNumber,bank,accountType
Andrea,Pedro,Ibáñez,Sierra,cedula,40210000001,andrea.1@example.com,8095551001,Santo Domingo Este,Calle 1 # 3,masculino,1990-01-01,S,4,Contacto Familiar,8096661001,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,36000,completa,no,44,1,2411,1,002,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456001,Banco Popular Dominicano,ahorro
Dante,Carolina,Zapata,Montoya,cedula,40210000002,dante.2@example.com,8095551002,Santo Domingo Este,Calle 2 # 6,femenino,1990-01-01,S,4,Contacto Familiar,8096661002,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,37000,completa,no,44,1,2411,1,003,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456002,Banco Popular Dominicano,ahorro
María,Antonio,Ruiz,Palacios,cedula,40210000003,maría.3@example.com,8095551003,Santo Domingo Este,Calle 3 # 9,masculino,1990-01-01,S,4,Contacto Familiar,8096661003,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,38000,completa,no,44,1,2411,1,004,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456003,Banco Popular Dominicano,ahorro
Aurora,Miguel,Navarro,Velasco,cedula,40210000004,aurora.4@example.com,8095551004,Santo Domingo Este,Calle 4 # 12,femenino,1990-01-01,S,4,Contacto Familiar,8096661004,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,39000,completa,no,44,1,2411,1,005,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456004,Banco Popular Dominicano,ahorro
Mariana,Diego,Romero,Navarro,cedula,40210000005,mariana.5@example.com,8095551005,Santo Domingo Este,Calle 5 # 15,masculino,1990-01-01,S,4,Contacto Familiar,8096661005,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,40000,completa,no,44,1,2411,1,006,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456005,Banco Popular Dominicano,ahorro
Aurora,Sofía,Díaz,Escobar,cedula,40210000006,aurora.6@example.com,8095551006,Santo Domingo Este,Calle 6 # 18,femenino,1990-01-01,S,4,Contacto Familiar,8096661006,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,41000,completa,no,44,1,2411,1,007,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456006,Banco Popular Dominicano,ahorro
Beatriz,Sandra,Moreno,Flores,cedula,40210000007,beatriz.7@example.com,8095551007,Santo Domingo Este,Calle 7 # 21,masculino,1990-01-01,S,4,Contacto Familiar,8096661007,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,42000,completa,no,44,1,2411,1,008,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456007,Banco Popular Dominicano,ahorro
José,Mario,Cordero,Fuentes,cedula,40210000008,josé.8@example.com,8095551008,Santo Domingo Este,Calle 8 # 24,femenino,1990-01-01,S,4,Contacto Familiar,8096661008,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,43000,completa,no,44,1,2411,1,009,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456008,Banco Popular Dominicano,ahorro
Juan,Miranda,Flores,Montes,cedula,40210000009,juan.9@example.com,8095551009,Santo Domingo Este,Calle 9 # 27,masculino,1990-01-01,S,4,Contacto Familiar,8096661009,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,44000,completa,no,44,1,2411,1,010,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456009,Banco Popular Dominicano,ahorro
Hugo,Valentina,Cordero,Ruiz,cedula,40210000010,hugo.10@example.com,8095551010,Santo Domingo Este,Calle 10 # 30,femenino,1990-01-01,S,4,Contacto Familiar,8096661010,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,35000,completa,no,44,1,2411,1,011,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456010,Banco Popular Dominicano,ahorro
