Código de empleado.,Nombre,Sucursal,Departamento,Puesto,Supervisor,Fecha de ingreso,Estado,Monto tope de comisión,Identificación,Salario,Teléfono personal,Antigüedad (AA-MM-DD),Dirección,Género,Email corporativo,Correo Electrónico,Indicador de comisiones,Primer Nombre,Segundo Nombre,Primer Apellido,Segundo Apellido
70109,Andrea Pedro Ibáñez Sierra,OFICINA PRINCIPAL,TRADE MARKETING (STGO),PROMOTOR,,30/09/2021,Activo,10000.0,657-9277266-2,29000,(809)889-2840       ,04-09-10,"CALLE MELLA #1, CIENFUEGOS, SANTIAGO",Femenino,andpedibásie@correotrabajo.com,andpedibásie@correo.com,---,Andrea,Pedro,Ibáñez,Sierra
70085,Dante Carolina Zapata Montoya,OFICINA PRINCIPAL,TRADE MARKETING (STO. DGO.),PROMOTOR,,23/05/2018,Activo,5000.0,207-4735365-6,29000,829-907-1580        ,08-01-17,"C/ 31 #48, URB. LA ESPERANZA.SANTO DOMINGO ESTE",Femenino,dancarzapmon@correotrabajo.com,dancarzapmon@correo.com,Sí,Dante,Carolina,Zapata,Montoya
70086,María Antonio Ruiz Palacios,OFICINA PRINCIPAL,TRADE MARKETING (STO. DGO.),PROMOTOR,,23/05/2018,Activo,50000.0,685-1457036-5,29000,829-898-5268        ,08-01-17,"C/ VIRGILIO DE LA PAZ, #20.SAN CRISTOBAL",Femenino,marantruipal@correotrabajo.com,marantruipal@correo.com,Sí,María,Antonio,Ruiz,Palacios
70057,Aurora Miguel Navarro Velasco,OFICINA PRINCIPAL,TRADE MARKETING (STO. DGO.),PROMOTOR,,01/12/2017,Activo,2500.0,599-3632022-6,31900,8098751894,08-07-09,"C/ F #48, VILLA ESPA#A.LA ROMANA",Femenino,aurmignavvel@correotrabajo.com,aurmignavvel@correo.com,Sí,Aurora,Miguel,Navarro,Velasco
70058,Mariana Diego Romero Navarro,OFICINA PRINCIPAL,TRADE MARKETING (STO. DGO.),PROMOTOR,,01/12/2017,Activo,10000.0,392-0590257-9,29000,809-774-2608        ,08-07-09,"C/ BARBARIN MOJICA, LAS MERCEDES.SANTO DOMINGO",Femenino,mardieromnav@correotrabajo.com,mardieromnav@correo.com,---,Mariana,Diego,Romero,Navarro
70060,Aurora Sofía Díaz Escobar,OFICINA PRINCIPAL,TRADE MARKETING (STO. DGO.),PROMOTOR,,01/10/2024,Activo,10000.0,318-3801358-7,43500,8293498391,01-09-09,"C/ JACINTO DE LOS SANTOS #322, LOS MAMEYES.SANTO DOMINGO ESTE",Femenino,aursofdiaesc@correotrabajo.com,aursofdiaesc@correo.com,---,Aurora,Sofía,Díaz,Escobar
6603,Beatriz Sandra Moreno Flores,OFICINA PRINCIPAL,MERCADEO,GERENTE DE MARCA JR,,25/07/2023,Vacaciones,40000.0,709-9449711-6,110000,8297010287,02-11-16,CALLE CAMILA HENRIQUEZ NO.18,Femenino,beasanmorflo@correotrabajo.com,beasanmorflo@correo.com,Sí,Beatriz,Sandra,Moreno,Flores
6653,José Mario Cordero Fuentes,OFICINA PRINCIPAL,DARROW,GERENTE DE MARCA,,06/11/2025,Activo,60000.0,499-0271074-7,160000,8292861201,00-08-03,CALLE MERCURIO NO.8 ESTANCIA NUEVA APTO 202,Femenino,josmarcorfue@correotrabajo.com,josmarcorfue@correo.com,No,José,Mario,Cordero,Fuentes
70064,Juan Miranda Flores Montes,OFICINA PRINCIPAL,PDC BRANDS,PROMO T,,01/12/2017,Activo,32000.0,898-9556262-2,30500,809-857-2286        ,08-07-09,"PROLONGACION PADRE LA CASA #3, MIRA FLORES.SANTIAGO",Femenino,juamirflomon@correotrabajo.com,juamirflomon@correo.com,Sí,Juan,Miranda,Flores,Montes
70055,Hugo Valentina Cordero Ruiz,OFICINA PRINCIPAL,PDC BRANDS,PROMO T,,01/12/2017,Vacaciones,32000.0,299-5207964-1,30500,8097810175,08-07-09,"C/ MAX. GOMEZ CON 38, CRISTO REY.SANTO DOMINGO",Femenino,hugvalcorrui@correotrabajo.com,hugvalcorrui@correo.com,Sí,Hugo,Valentina,Cordero,Ruiz
