*firstName,middleName,*firstLastName,secondLastName,*idType,*idNumber,*email,phone,*municipality,*address,gender,birthDate,maritalStatus,educationLevel,emergencyContact,emergencyPhone,afpProvider,notes,*hireDate,*contractType,probationEndDate,reportsTo,paymentFrequency,*salary,*workday,isVigilante,weeklyHours,workShift,occupationCode,vacationGranted,*tssKey,*position,department_catalog,*area,costCenter,*paymentMethod,*accountNumber,*bank,*accountType
Juan,Carlos,Perez,Gomez,cedula,40210000001,juan.perez1@example.com,8095550001,Santo Domingo Este,Calle 1 #101,masculino,1990-01-15,S,4,Contacto 1,8097770001,AFP Popular,Empleado de prueba 1,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,30500,completa,no,44,1,2401,1,001,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000001,Banco Popular Dominicano,ahorro
Pedro,Carlos,Rodriguez,Gomez,cedula,40210000002,pedro.rodriguez2@example.com,8095550002,Santo Domingo Este,Calle 2 #102,femenino,1990-01-15,S,4,Contacto 2,8097770002,AFP Popular,Empleado de prueba 2,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,31000,completa,no,44,1,2402,1,002,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000002,Banco Popular Dominicano,ahorro
Maria,Carlos,Garcia,Gomez,cedula,40210000003,maria.garcia3@example.com,8095550003,Santo Domingo Este,Calle 3 #103,masculino,1990-01-15,S,4,Contacto 3,8097770003,AFP Popular,Empleado de prueba 3,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,31500,completa,no,44,1,2403,1,003,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000003,Banco Popular Dominicano,ahorro
Luis,Carlos,Martinez,Gomez,cedula,40210000004,luis.martinez4@example.com,8095550004,Santo Domingo Este,Calle 4 #104,femenino,1990-01-15,S,4,Contacto 4,8097770004,AFP Popular,Empleado de prueba 4,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,32000,completa,no,44,1,2404,1,004,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000004,Banco Popular Dominicano,ahorro
Ana,Carlos,Hernandez,Gomez,cedula,40210000005,ana.hernandez5@example.com,8095550005,Santo Domingo Este,Calle 5 #105,masculino,1990-01-15,S,4,Contacto 5,8097770005,AFP Popular,Empleado de prueba 5,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,32500,completa,no,44,1,2405,1,005,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000005,Banco Popular Dominicano,ahorro
Carlos,Carlos,Diaz,Gomez,cedula,40210000006,carlos.diaz6@example.com,8095550006,Santo Domingo Este,Calle 6 #106,femenino,1990-01-15,S,4,Contacto 6,8097770006,AFP Popular,Empleado de prueba 6,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,33000,completa,no,44,1,2406,1,006,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000006,Banco Popular Dominicano,ahorro
Laura,Carlos,Santana,Gomez,cedula,40210000007,laura.santana7@example.com,8095550007,Santo Domingo Este,Calle 7 #107,masculino,1990-01-15,S,4,Contacto 7,8097770007,AFP Popular,Empleado de prueba 7,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,33500,completa,no,44,1,2407,1,007,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000007,Banco Popular Dominicano,ahorro
Miguel,Carlos,Vargas,Gomez,cedula,40210000008,miguel.vargas8@example.com,8095550008,Santo Domingo Este,Calle 8 #108,femenino,1990-01-15,S,4,Contacto 8,8097770008,AFP Popular,Empleado de prueba 8,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,34000,completa,no,44,1,2408,1,008,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000008,Banco Popular Dominicano,ahorro
Rosa,Carlos,Castillo,Gomez,cedula,40210000009,rosa.castillo9@example.com,8095550009,Santo Domingo Este,Calle 9 #109,masculino,1990-01-15,S,4,Contacto 9,8097770009,AFP Popular,Empleado de prueba 9,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,34500,completa,no,44,1,2409,1,009,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000009,Banco Popular Dominicano,ahorro
Jose,Carlos,Mejia,Gomez,cedula,40210000010,jose.mejia10@example.com,8095550010,Santo Domingo Este,Calle 10 #110,femenino,1990-01-15,S,4,Contacto 10,8097770010,AFP Popular,Empleado de prueba 10,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,35000,completa,no,44,1,2410,1,010,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000010,Banco Popular Dominicano,ahorro
Juan,Carlos,Perez,Gomez,cedula,40210000011,juan.perez11@example.com,8095550011,Santo Domingo Este,Calle 11 #111,masculino,1990-01-15,S,4,Contacto 11,8097770011,AFP Popular,Empleado de prueba 11,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,35500,completa,no,44,1,2411,1,011,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000011,Banco Popular Dominicano,ahorro
